id,producto_nombre,categoria,modelo,descripcion,precio_publico,precio_mayoreo,imagen_path,video_path,website_present,app_present,website_precio_publico,website_precio_mayoreo,app_precio_publico,app_precio_mayoreo,image_exists,video_exists,price_status,category_status,product_status,estado,source,last_checked
lk-007-camara-digital-4k,"Cámara Digital 4K LK-007 | Pantalla Abatible 2.4"" | HAODE México",Cámaras Inteligentes,Pantalla abatible 2.4 pulgadas,"Cámara digital compacta estilo retro con pantalla abatible de 2.4 pulgadas, ideal para tomar fotos, grabar videos y crear contenido diario. Diseño moderno, colores atractivos y uso fácil para jóvenes, viajes, regalos y uso personal.",500,400,/assets/products/productos-ai/lk-007-camara-digital-4k/main.png,,yes,yes,500,400,500,400,yes,no,OK,OK,video_faltante,Activo,boss_confirmed_2026-06-16|desktop_asset_lk-007|app/products.json|website:data/products.generated.js|HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 193,2026-07-25
lk-018-camara-accion-hd,LK-018 Cámara de Acción HD | Pantalla Abatible | HAODE México,Cámaras Inteligentes,Pantalla abatible y diseño magnético,"Cámara de acción HD compacta con pantalla abatible y diseño magnético. Ideal para grabar contenido diario, viajes, actividades, manos libres y tomas en primera persona.",850,700,/assets/products/productos-ai/lk-018-camara-accion-hd/main.png,/assets/products/productos-ai/lk-018-camara-accion-hd/video-01.mp4,yes,yes,1200,1000,1200,1000,yes,yes,OK,OK,OK,Activo,boss_confirmed_2026-06-16|desktop_asset_lk-018|app/products.json|website:data/products.generated.js|HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 195,2026-07-25
lk-030-mini-camara-retro-digital,LK-030 Mini Cámara Retro Digital,Cámaras Inteligentes,Pantalla abatible,"Mini cámara retro digital con pantalla abatible y formato compacto para fotos, videos, viajes, regalos y contenido diario.",400,300,/assets/products/productos-ai/lk-030-mini-camara-retro-digital/main-red-hd.jpeg,,yes,yes,400,300,400,300,yes,no,OK,OK,video_faltante,Activo,existing_static_page|app/products.json|website:data/products.generated.js|HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 192,2026-07-25
lk-032-camara-inteligente-con-gimbal,LK-032 Cámara Inteligente con Gimbal,Cámaras Inteligentes,Cámara inteligente con gimbal,"Cámara portátil inteligente con estabilización integrada para contenido profesional, videos, transmisiones, viajes y grabación POV.",500,400,/assets/products/productos-ai/lk-032-camara-inteligente-con-gimbal/main.jpg,,yes,yes,1000,800,1000,800,yes,no,OK,OK,video_faltante,Activo,existing_static_page|app/products.json|website:data/products.generated.js|HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 194,2026-07-25
celular-samsung-note-20-ultra-12-plus-256,Samsung NOTE 20 Ultra,Celulares Samsung,Samsung NOTE 20 Ultra 12+256,"Samsung NOTE 20 Ultra 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3800,3800,/assets/products/placeholder.svg,,yes,yes,3800,0,3800,3800,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 216,2026-07-25
celular-samsung-note10-8-plus-256,Samsung NOTE10,Celulares Samsung,Samsung NOTE10 8+256,"Samsung NOTE10 8+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2700,2700,/assets/products/placeholder.svg,,yes,yes,2700,0,2700,2700,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 214,2026-07-25
celular-samsung-note10-plus-12-plus-256,Samsung NOTE10 PLUS,Celulares Samsung,Samsung NOTE10 PLUS 12+256,"Samsung NOTE10 PLUS 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3500,3500,/assets/products/placeholder.svg,,yes,yes,3500,0,3500,3500,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 215,2026-07-25
celular-samsung-note8-4-plus-64,Samsung NOTE8,Celulares Samsung,Samsung NOTE8 4+64,"Samsung NOTE8 4+64 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2000,2000,/assets/products/placeholder.svg,,yes,yes,2000,0,2000,2000,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 212,2026-07-25
celular-samsung-note9-8-plus-128,Samsung NOTE9,Celulares Samsung,Samsung NOTE9 8+128,"Samsung NOTE9 8+128 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2500,2500,/assets/products/placeholder.svg,,yes,yes,2500,0,2500,2500,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 213,2026-07-25
celular-samsung-s10-8-plus-128,Samsung S10,Celulares Samsung,Samsung S10 8+128,"Samsung S10 8+128 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2500,2500,/assets/products/placeholder.svg,,yes,yes,2500,0,2500,2500,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 201,2026-07-25
celular-samsung-s10-plus-8-plus-128,Samsung S10 PLUS,Celulares Samsung,Samsung S10 PLUS 8+128,"Samsung S10 PLUS 8+128 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2700,2700,/assets/products/placeholder.svg,,yes,yes,2700,0,2700,2700,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 202,2026-07-25
celular-samsung-s10e-8-plus-128,Samsung S10E,Celulares Samsung,Samsung S10E 8+128,"Samsung S10E 8+128 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2800,2800,/assets/products/placeholder.svg,,yes,yes,2800,0,2800,2800,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 203,2026-07-25
celular-samsung-s20-5g-12-plus-256,Samsung S20 5G,Celulares Samsung,Samsung S20 5G 12+256,"Samsung S20 5G 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3000,3000,/assets/products/placeholder.svg,,yes,yes,3000,0,3000,3000,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 204,2026-07-25
celular-samsung-s20-plus-12-plus-256,Samsung S20 PLUS,Celulares Samsung,Samsung S20 PLUS 12+256,"Samsung S20 PLUS 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3300,3300,/assets/products/placeholder.svg,,yes,yes,3300,0,3300,3300,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 205,2026-07-25
celular-samsung-s20-ultra-12-plus-256,Samsung S20 Ultra,Celulares Samsung,Samsung S20 Ultra 12+256,"Samsung S20 Ultra 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3500,3500,/assets/products/placeholder.svg,,yes,yes,3500,0,3500,3500,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 207,2026-07-25
celular-samsung-s20fe-6-plus-128,Samsung S20FE,Celulares Samsung,Samsung S20FE 6+128,"Samsung S20FE 6+128 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2700,2700,/assets/products/placeholder.svg,,yes,yes,2700,0,2700,2700,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 206,2026-07-25
celular-samsung-s21-12-plus-256,Samsung S21,Celulares Samsung,Samsung S21 12+256,"Samsung S21 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3000,3000,/assets/products/placeholder.svg,,yes,yes,3000,0,3000,3000,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 208,2026-07-25
celular-samsung-s21-ultra-12-plus-256,Samsung S21 Ultra,Celulares Samsung,Samsung S21 Ultra 12+256,"Samsung S21 Ultra 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",3800,3800,/assets/products/placeholder.svg,,yes,yes,3800,0,3800,3800,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 209,2026-07-25
celular-samsung-s22-ultra-12-plus-256,Samsung S22 Ultra,Celulares Samsung,Samsung S22 Ultra 12+256,"Samsung S22 Ultra 12+256 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",4000,4000,/assets/products/placeholder.svg,,yes,yes,4000,0,4000,4000,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 210,2026-07-25
celular-samsung-s9-6-plus-64,Samsung S9,Celulares Samsung,Samsung S9 6+64,"Samsung S9 6+64 publicado desde la lista de precios HAODE. Consulta disponibilidad, estado del equipo y condiciones por WhatsApp antes de confirmar el pedido.",2000,2000,/assets/products/placeholder.svg,,yes,yes,2000,0,2000,2000,placeholder_authorized,no,OK,OK,imagen_pendiente,Activo,HAODE Lista_de_Precios_HAODE_2026_Clientesxlsx.xlsx · Lista_Precios · fila 199,2026-07-25
